registry_id,primary_law,enf_outcome_code,self_disclosure_frequency,penalty_frequency,fed_penalty_assessed_amt,state_local_penalty_amt,sep_amt,compliance_action_cost,cost_recovery_awarded_amt,state,county,epa_region,lat,long,low_income_ratio,white_population_ratio,black_population_ratio,hispanic_population_ratio,asian_population_ratio,american_indian_population_ratio,air_pollutant_class_code,caasip,caamact,caansps,caatvp,caagactm,other,rad_wbd_huc12s,democrat,independent,libertarian,republican
110000495241.0,CAA,ECP,0.0,3,77258.0,0.0,64719.0,10000.0,0.0,TX,HARRIS,6.0,29.701111,-95.042222,0.34,0.63,0.06,0.36,0.01,0.01,MAJ,1.0,1.0,1.0,1.0,0.0,1.0,,138.0,0.0,0.0,282.0
110000495615.0,RCRA,ECP,0.0,1,30000.0,0.0,0.0,0.0,0.0,CA,RIVERSIDE,9.0,34.01742,-117.37927,0.43,0.5,0.06,0.69,0.03,0.01,,0.0,0.0,0.0,0.0,0.0,0.0,,455.0,0.0,0.0,147.0
110000495722.0,CAA,,0.0,1,170000.0,0.0,0.0,70500.0,0.0,CA,TULARE,9.0,36.18933,-119.33549,0.45,0.59,0.04,0.57,0.02,0.01,,0.0,0.0,0.0,0.0,0.0,0.0,,455.0,0.0,0.0,147.0
110000496062.0,EPCRA,ECN,0.0,2,50601.0,0.0,0.0,9913.6,0.0,RI,PROVIDENCE,1.0,41.9999,-71.471,0.33,0.84,0.05,0.09,0.04,0.0,,0.0,0.0,0.0,0.0,0.0,1.0,,30.0,0.0,0.0,0.0
110000496179.0,TSCA,ECP,0.0,1,50000.0,0.0,0.0,6000.0,0.0,NJ,ESSEX,2.0,40.737599,-74.133219,0.39,0.45,0.22,0.38,0.07,0.01,MIN,1.0,0.0,0.0,0.0,0.0,0.0,,108.0,0.0,0.0,67.0
110000496302.0,CAA,ECP,0.0,1,1500.0,0.0,0.0,28947.0,0.0,PA,DAUPHIN,3.0,40.27605,-76.67562,0.15,0.82,0.04,0.03,0.05,0.0,SMI,1.0,1.0,1.0,0.0,0.0,0.0,,80.0,0.0,0.0,107.0
110000496419.0,EPCRA,ECP,0.0,1,37408.0,0.0,0.0,500.0,0.0,MD,BALTIMORE,3.0,39.32101,-76.60413,0.37,0.3,0.66,0.04,0.03,0.0,MIN,1.0,0.0,0.0,0.0,0.0,0.0,,104.0,0.0,0.0,7.0
110000497132.0,CAA,,0.0,1,91388.77,0.0,0.0,0.0,0.0,MI,WAYNE,5.0,42.21917,-83.522691,0.34,0.66,0.31,0.03,0.01,0.01,MAJ,1.0,1.0,1.0,1.0,0.0,4.0,,115.0,1.0,1.0,85.0
110000497917.0,CAA,,0.0,1,237537.0,0.0,0.0,1150000.0,0.0,CA,LOS ANGELES,9.0,34.007246,-118.21929,0.56,0.44,0.05,0.9,0.01,0.01,MAJ,1.0,0.0,0.0,1.0,0.0,0.0,,455.0,0.0,0.0,147.0
110000498319.0,CWA,EUO,0.0,1,0.0,0.0,0.0,1400.0,0.0,NJ,CAMDEN,2.0,39.935667,-75.039722,0.27,0.64,0.16,0.2,0.06,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,,108.0,0.0,0.0,67.0
110000498408.0,RCRA,ECP,0.0,1,8750.0,0.0,0.0,8750.0,0.0,PA,MONTGOMERY,3.0,40.08112,-75.18426,0.28,0.34,0.58,0.03,0.02,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,,80.0,0.0,0.0,107.0
110000498550.0,RCRA,ECP,0.0,1,150000.0,0.0,0.0,260000.0,0.0,SC,SPARTANBURG,4.0,35.026944,-82.065833,0.29,0.63,0.16,0.03,0.03,0.0,MAJ,1.0,1.0,1.0,1.0,1.0,2.0,,17.0,0.0,0.0,61.0
110000498587.0,CERCLA,ECP,0.0,3,25152.0,0.0,5107.0,600.0,0.0,GA,FULTON,4.0,33.79405,-84.43809,0.33,0.32,0.43,0.04,0.05,0.0,SMI,1.0,0.0,0.0,0.0,0.0,0.0,,68.0,0.0,0.0,94.0
110000498612.0,RCRA,ECP,0.0,1,21800.0,0.0,0.0,0.0,0.0,FL,DUVAL,4.0,30.326893,-81.745758,0.47,0.52,0.37,0.05,0.02,0.0,SMI,1.0,0.0,1.0,0.0,0.0,1.0,,104.0,0.0,0.0,180.0
